time,cycle number,marker,delc_var_det1_HbO2,delc_var_det1_HHb,delc_var_det1_ox-redCCO,delc_var_det1_HbT,delc_INvar_det1_HbO2,delc_INvar_det1_HHb,delc_INvar_det1_ox-redCCO,delc_INvar_det1_HbT,delc_var_det2_HbO2,delc_var_det2_HHb,delc_var_det2_ox-redCCO,delc_var_det2_HbT,delc_INvar_det2_HbO2,delc_INvar_det2_HHb,delc_INvar_det2_ox-redCCO,delc_INvar_det2_HbT,delc_INvar_det3_HbO2,delc_INvar_det3_HHb,delc_INvar_det3_ox-redCCO,delc_INvar_det3_HbT,delc_INvar_det4_HbO2,delc_INvar_det4_HHb,delc_INvar_det4_ox-redCCO,delc_INvar_det4_HbT,SRS kHbO2,SRS kHHb,SRS kHbT,SRS TOI,delc_var_det1_Hbdiff,delc_INvar_det1_Hbdiff,delc_var_det2_Hbdiff,delc_INvar_det2_Hbdiff,delc_INvar_det3_Hbdiff,delc_INvar_det4_Hbdiff,DPF 690,DPF 750,DPF 790,DPF 850,Us 690,Us 750,Us 790,Us 850,Ua 690,Ua 750,Ua 790,Ua 850,MDFD_abs_C_HbO2,MDFD_abs_C_HHb,MDFD_abs_C_HbT,MDFD_StO2,MDFD_delta_C_HbO2,MDFD_delta_C_HHb,MDFD_delta_C_HbT,time (s),TCD mean velocity,TCD mean BP,TCD mean SpO2,TCD mean maxCO2,TCD mean minCO2,TF mean maxO2,TF mean minO2,TF mean maxCO2,TF mean minCO2,HR (bpm),SpO2 ,CO2 - ET ,CO2 - MIN ,TV - TV - 61664 ,TV - TV - 61665 ,MINVOL - MINVOL - 20812 ,O2 - INSP ,O2 - ET ,end challenge
246.4,200,0,-0.769739116,0.164368616,0.322408505,-0.6053705,-0.769739116,0.164368616,0.322408505,-0.6053705,-0.824407675,-0.229961708,0.245661867,-1.054369383,-0.824407675,-0.229961708,0.245661867,-1.054369383,-0.721016257,-0.709486271,0.222492614,-1.430502528,-0.389638403,-0.175998146,0.26370525,-0.56563655,59.38801926,40.03799152,99.42601078,0.596390824,-0.934107731,-0.934107731,-0.594445967,-0.594445967,-0.011529986,-0.213640257,8.211677109,8.128893647,8.033735365,8.40940707,10.46885812,9.837227985,9.580028203,9.568495407,0.116531363,0.111647044,0.11131534,0.101507979,14.29341279,20.97803488,35.27144766,42.07662676,29.63729068,18.85935658,48.49664726,246.4,69.17783554,-7.34607E-15,100.6654746,5.809470446,0.200488891,19.78865692,13.67569142,5.617533461,0.298821751,-5.65655E-15,98.5667898,4.874479008,0.389023965,386.9383919,558.957096,6.849072341,19.51969077,14.6277121,
249.6,201,0,-0.782055099,0.199867912,0.344252473,-0.582187187,-0.782055099,0.199867912,0.344252473,-0.582187187,-0.917796712,-0.085264398,0.229679154,-1.00306111,-0.917796712,-0.085264398,0.229679154,-1.00306111,-0.898449983,-0.615344123,0.222413268,-1.513794106,-0.623070012,-0.120231739,0.285288775,-0.74330175,60.2980439,40.32442788,100.6224718,0.598446241,-0.981923011,-0.981923011,-0.832532314,-0.832532314,-0.283105861,-0.502838273,8.392447206,8.119965981,8.109229162,8.413217867,10.68605022,9.790445628,9.648806007,9.528352122,0.113884717,0.111384444,0.110099613,0.101029368,14.38923888,20.54304735,34.93228623,42.70807433,29.73311677,18.42436906,48.15748583,249.6,67.31660284,4.39486E-15,100.4107889,5.809710963,0.241579763,19.77515492,13.67962675,5.614075359,0.370137394,2.16802E-15,98.43243028,4.688313624,0.23667549,-38.12989665,434.7931489,6.86876191,19.68723844,15.20325296,
252.8,202,0,-1.050043627,0.307601098,0.287937963,-0.74244253,-1.050043627,0.307601098,0.287937963,-0.74244253,-1.344280424,0.07718852,0.20183106,-1.267091904,-1.344280424,0.07718852,0.20183106,-1.267091904,-1.357222679,-0.520979805,0.217575679,-1.878202483,-1.120379101,-0.12970511,0.288842868,-1.250084211,60.13450413,40.31886239,100.4533665,0.597936731,-1.357644725,-1.357644725,-1.421468943,-1.421468943,-0.836242874,-0.990673992,8.465410811,8.226374836,8.176692684,8.36119445,10.7428958,9.879113652,9.668159849,9.418665354,0.112425365,0.109504185,0.1084704,0.101112167,14.39981051,20.14505489,34.5448654,43.221373,29.7436884,18.0263766,47.77006499,252.8,70.86346515,1.46959E-14,100.3369148,5.824234694,0.271240791,19.76869034,13.67027981,5.615785222,0.426763941,1.10952E-14,98.65560465,5.064235883,0.305774666,-13.32062587,590.2888999,6.894231043,19.98149383,14.71452469,
256,203,0,-1.245495119,0.482182207,0.218301614,-0.763312912,-1.245495119,0.482182207,0.218301614,-0.763312912,-1.605690061,0.24179305,0.160574926,-1.363897011,-1.605690061,0.24179305,0.160574926,-1.363897011,-1.658907099,-0.368886972,0.207000469,-2.027794072,-1.448177795,0.001378609,0.277177949,-1.446799186,59.88018842,39.9964817,99.87667012,0.598600917,-1.727677326,-1.727677326,-1.84748311,-1.84748311,-1.290020127,-1.449556404,8.457207202,8.263997146,8.195041852,8.363051969,10.71188851,9.928091111,9.645701592,9.412803992,0.112322288,0.109058289,0.107684269,0.100971397,14.22013743,20.11316806,34.33330549,43.03895908,29.56401532,17.99448976,47.55850508,256,73.3378465,-5.64601E-15,100.5021032,5.877255266,0.290724812,19.77954358,13.67023789,5.618740708,0.44537017,-2.08694E-15,99.0195329,5.532461767,0.574812371,477.2017969,884.0454457,6.927887977,20.09076445,13.93311722,
259.2,204,0,-1.164957075,0.616825253,0.175897569,-0.548131822,-1.164957075,0.616825253,0.175897569,-0.548131822,-1.488088898,0.300355955,0.129581505,-1.187732944,-1.488088898,0.300355955,0.129581505,-1.187732944,-1.59843841,-0.230521247,0.193389521,-1.828959658,-1.453286687,0.203470384,0.26947277,-1.249816302,60.48028899,39.37025795,99.85054694,0.604065131,-1.781782328,-1.781782328,-1.788444853,-1.788444853,-1.367917163,-1.656757071,8.499539672,8.143401283,8.205624739,8.451129795,10.78712118,9.817563336,9.644083241,9.527112496,0.112081646,0.111113069,0.107414931,0.100056067,13.87802435,20.31949009,34.19751444,42.28745663,29.22190224,18.20081179,47.42271403,259.2,69.76129778,-2.8828E-14,100.5923347,5.972516085,0.323528997,19.79066813,13.65726847,5.622627856,0.454014021,-2.13696E-14,99.15811822,5.640295314,0.753640971,1128.831401,1181.41149,6.972912727,20.0154413,13.75465708,
262.4,205,0,-1.171418137,0.644486298,0.106862689,-0.52693184,-1.171418137,0.644486298,0.106862689,-0.52693184,-1.547914508,0.247592562,0.09549583,-1.300321946,-1.547914508,0.247592562,0.09549583,-1.300321946,-1.734865035,-0.225028795,0.181090245,-1.95989383,-1.7234255,0.238087003,0.248806888,-1.485338498,61.42958922,38.37470879,99.80429801,0.612867885,-1.815904435,-1.815904435,-1.79550707,-1.79550707,-1.50983624,-1.961512503,8.538449487,8.025636683,8.248898986,8.536065763,10.87158112,9.700960102,9.682344284,9.622359402,0.112001201,0.112990107,0.10676603,0.099047508,13.41749882,20.5519172,33.96941602,41.28073063,28.76137671,18.43323891,47.19461562,262.4,66.04073734,5.4469E-15,100.4583336,6.060203368,0.353757453,19.7926016,13.61304094,5.629968438,0.455794499,6.78893E-17,99.06454121,5.491018728,0.661684861,1527.801457,1370.813032,7.012751848,19.9582778,14.07067021,
265.6,206,0,-1.453577478,0.586729121,0.025642981,-0.866848356,-1.453577478,0.586729121,0.025642981,-0.866848356,-1.998013493,0.216659185,0.057121115,-1.781354308,-1.998013493,0.216659185,0.057121115,-1.781354308,-2.2388194,-0.282504951,0.177998182,-2.521324352,-2.372718085,0.133158939,0.200619859,-2.239559146,61.80772647,37.47271219,99.28043867,0.61908911,-2.040306599,-2.040306599,-2.214672678,-2.214672678,-1.956314449,-2.505877023,8.508663564,8.098322679,8.288869761,8.524217337,10.84880212,9.798104099,9.708074769,9.595362424,0.11252856,0.11207083,0.106031506,0.099055528,13.18584672,20.57977196,33.76561868,40.88719591,28.52972461,18.46109366,46.99081828,265.6,68.80596068,5.5528E-14,100.2966522,6.090986577,0.342507427,19.80309361,13.58929216,5.636479462,0.412466354,4.0441E-14,98.98369604,5.421877381,0.454751413,1517.025519,1384.906541,7.003289081,19.98839369,14.16384669,
268.8,207,0,-1.63560706,0.51863881,0.041685721,-1.116968249,-1.63560706,0.51863881,0.041685721,-1.116968249,-2.234316443,0.273834754,0.070602594,-1.960481689,-2.234316443,0.273834754,0.070602594,-1.960481689,-2.422775095,-0.20992237,0.194821791,-2.632697465,-2.635994625,0.126271659,0.174504689,-2.509722966,61.51152778,37.46178303,98.97331082,0.618110635,-2.15424587,-2.15424587,-2.508151196,-2.508151196,-2.212852725,-2.762266284,8.504579438,8.293062989,8.274897872,8.427219478,10.85042318,10.04467186,9.674457912,9.482069107,0.112575878,0.109526768,0.106006418,0.100156074,13.51890098,20.29134419,33.81024517,41.79259963,28.86277887,18.17266589,47.03544477,268.8,73.92954084,-2.21955E-16,100.2793237,6.074870424,0.293902203,19.83595915,13.64068124,5.636323226,0.324261601,7.21493E-15,99.00318992,5.516394114,0.372403644,1291.01571,1263.583199,6.917163068,20.0204649,13.74982,
272,208,0,-1.504679866,0.552641373,0.141632371,-0.952038493,-1.504679866,0.552641373,0.141632371,-0.952038493,-1.969065794,0.351218078,0.146625654,-1.617847716,-1.969065794,0.351218078,0.146625654,-1.617847716,-2.025307697,-0.008730344,0.227548996,-2.034038041,-2.239947844,0.219379916,0.216012277,-2.020567927,60.96268908,38.48624482,99.4489339,0.610687158,-2.057321239,-2.057321239,-2.320283871,-2.320283871,-2.016577353,-2.45932776,8.558903657,8.361189378,8.21710438,8.337044428,10.94070884,10.13346236,9.599796826,9.393968514,0.112025125,0.108682122,0.106658042,0.101360448,14.08352437,20.02179478,34.10531915,43.0439932,29.42740226,17.90311649,47.33051875,272,74.61500253,-1.05092E-13,100.329023,6.058796648,0.264200031,19.86799012,13.72525294,5.632086146,0.269030317,-7.51991E-14,99.02453347,5.635278325,0.407208236,1122.890742,1134.404669,6.803872718,20.00802402,13.19947922,
275.2,209,0,-1.390085299,0.734224956,0.156267563,-0.655860342,-1.390085299,0.734224956,0.156267563,-0.655860342,-1.773572306,0.402947083,0.186661766,-1.370625223,-1.773572306,0.402947083,0.186661766,-1.370625223,-1.768109967,0.117781859,0.242578038,-1.650328108,-1.953016259,0.194910504,0.2646479,-1.758105755,60.55090982,39.68156251,100.2324723,0.602724969,-2.124310255,-2.124310255,-2.176519389,-2.176519389,-1.885891825,-2.147926764,8.540807791,8.207331123,8.171613779,8.322566355,10.93831992,9.928944664,9.551814586,9.400866979,0.11248096,0.11058872,0.107294391,0.101793931,14.19193271,20.22150348,34.41343619,42.99237936,29.5358106,18.10282518,47.63863578,275.2,73.34125051,-1.8663E-14,100.3306424,6.064666081,0.297573578,19.85876826,13.76466403,5.625759117,0.317351865,-2.73046E-14,99.00469075,5.686975611,0.374797343,1108.776679,1108.724718,6.771248425,19.99000568,12.93654356,
278.4,210,0,-1.512438228,0.879697363,0.039039702,-0.632740865,-1.512438228,0.879697363,0.039039702,-0.632740865,-2.015272565,0.437472041,0.132447785,-1.577800524,-2.015272565,0.437472041,0.132447785,-1.577800524,-2.050476674,0.082699241,0.212091724,-1.967777434,-2.220974774,0.040488489,0.231893741,-2.180486286,60.43835794,39.86229911,100.3006571,0.601205131,-2.392135591,-2.392135591,-2.452744607,-2.452744607,-2.133175915,-2.261463263,8.435742048,8.017367751,8.181012087,8.377529715,10.80565477,9.67472236,9.585225733,9.477843413,0.113904631,0.112902891,0.107414025,0.10132157,13.75277935,20.70462754,34.45740688,41.73226949,29.09665724,18.58594924,47.68260648,278.4,74.85704354,1.95433E-13,100.3189326,6.075187664,0.380464336,19.79651212,13.76585385,5.607934555,0.44178614,1.37309E-13,98.95501676,5.692956695,0.2329898,1173.675267,1193.861828,6.871842369,19.99477895,12.96642839,
281.6,211,0,-1.675966896,0.700984107,-0.043141462,-0.974982789,-1.675966896,0.700984107,-0.043141462,-0.974982789,-2.291331558,0.386484016,0.079969355,-1.904847542,-2.291331558,0.386484016,0.079969355,-1.904847542,-2.304967831,-0.018368403,0.166045209,-2.323336234,-2.493117407,-0.052503758,0.150936401,-2.545621165,60.15953461,38.43376467,98.59329928,0.607946506,-2.376951003,-2.376951003,-2.677815574,-2.677815574,-2.286599427,-2.440613649,8.433185303,8.011017652,8.221075419,8.45855778,10.80832292,9.679462276,9.664193826,9.560211593,0.114002232,0.113112429,0.107249617,0.100261207,13.34292349,20.82592021,34.16884371,40.97089329,28.68680138,18.70724192,47.3940433,281.6,75.33706128,7.07952E-14,100.365623,6.070049097,0.467878351,19.70624755,13.7794645,5.573299284,0.553535783,7.65898E-14,98.80698192,5.695835206,0.157583538,1207.528757,1289.97053,7.028835978,20.00475466,13.0294272,
284.8,212,0,-1.823635701,0.188438512,0.012052025,-1.635197189,-1.823635701,0.188438512,0.012052025,-1.635197189,-2.341294339,0.152958853,0.129792514,-2.188335486,-2.341294339,0.152958853,0.129792514,-2.188335486,-2.186899244,-0.139016281,0.16450087,-2.325915526,-2.408591577,-0.0625993,0.123871116,-2.471190877,58.82518791,35.84163316,94.66682107,0.61745947,-2.012074213,-2.012074213,-2.494253193,-2.494253193,-2.047882963,-2.345992277,8.596186229,8.168136293,8.209630531,8.529964144,11.05260663,9.916467753,9.673872757,9.625406305,0.112207879,0.111480814,0.107672698,0.099235923,13.39993114,20.44643043,33.84636157,41.55118559,28.74380903,18.32775213,47.07156116,284.8,70.42300866,-3.56879E-13,100.4385519,6.049541247,0.529366851,19.61730466,13.78802396,5.537330335,0.606614983,-2.45865E-13,98.54070242,5.706958538,0.283261123,1181.147963,1302.9144,7.11954564,20.00327359,13.00248332,
288,213,0,-2.190854482,-0.327408471,0.092318624,-2.518262953,-2.190854482,-0.327408471,0.092318624,-2.518262953,-2.526301518,-0.185919348,0.226276263,-2.712220866,-2.526301518,-0.185919348,0.226276263,-2.712220866,-2.202905271,-0.299756659,0.207691041,-2.50266193,-2.436860078,-0.118169567,0.151265621,-2.555029645,56.41723109,33.21368252,89.63091361,0.623371779,-1.863446011,-1.863446011,-2.340382169,-2.340382169,-1.903148612,-2.318690511,8.717586537,8.29235977,8.116832558,8.562969585,11.24522591,10.09841172,9.574805377,9.684906083,0.110988345,0.110136039,0.109018431,0.099079767,13.77617762,20.11227924,33.88845685,42.55296861,29.12005551,17.99360094,47.11365645,288,65.84032886,-1.98739E-13,100.4550562,6.020806801,0.557986389,19.5423909,13.75769058,5.516930444,0.625180571,-1.89543E-13,98.34574482,5.711431686,0.507812984,1182.393977,1281.443871,7.116003315,19.99785598,12.98059254,
291.2,214,0,-2.729893353,-0.575889953,0.080013564,-3.305783307,-2.729893353,-0.575889953,0.080013564,-3.305783307,-3.009087781,-0.407078112,0.254320061,-3.416165893,-3.009087781,-0.407078112,0.254320061,-3.416165893,-2.646934532,-0.403135879,0.222907304,-3.050070411,-2.857565313,-0.182671049,0.146110486,-3.040236362,54.23625755,31.37118068,85.60743823,0.62584576,-2.1540034,-2.1540034,-2.602009668,-2.602009668,-2.243798653,-2.674894264,8.646242757,8.281599451,8.041210764,8.554044537,11.14952956,10.0789975,9.490758367,9.737531444,0.111899667,0.110213235,0.110071302,0.099859733,14.00158731,20.20646489,34.2080522,42.77908006,29.3454652,18.08778659,47.4332518,291.2,68.20288377,6.39083E-13,100.398584,5.980806567,0.557099985,19.49380118,13.75196754,5.503538004,0.641075952,4.30728E-13,98.39688088,5.693181173,0.633611863,1308.568016,1367.013431,7.090686179,19.99796208,13.02261554,
294.4,215,0,-2.997941442,-0.594427666,0.016799586,-3.592369108,-2.997941442,-0.594427666,0.016799586,-3.592369108,-3.318943901,-0.397137523,0.203629521,-3.716081424,-3.318943901,-0.397137523,0.203629521,-3.716081424,-2.986169529,-0.319675555,0.168087939,-3.305845083,-3.175253945,-0.120662205,0.092108324,-3.29591615,53.53468993,30.39018109,83.92487102,0.629114536,-2.403513776,-2.403513776,-2.921806377,-2.921806377,-2.666493974,-3.05459174,8.515740924,8.213625578,8.097406534,8.555648447,10.94705728,9.986568963,9.554308485,9.781502509,0.113259261,0.111028965,0.109300363,0.100290561,13.72839513,20.495,34.22339512,42.00263734,29.07227302,18.3763217,47.44859472,294.4,73.06195441,4.92035E-13,100.3335577,5.922275344,0.53654322,19.50215096,13.86203693,5.477269737,0.644720523,4.36804E-13,98.56651682,5.664248902,0.618213738,1504.979886,1558.646499,7.096952251,20.00081567,13.02454019,
